model loaded successfully
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas

image 40/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-30.jpg: 1088x1920 1 Arruela Dentada, 80.9ms
image 41/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-36.jpg: 1088x1920 1 Arruela trava eixo, 81.0ms
image 42/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-38.jpg: 1088x1920 1 Arruela trava eixo, 80.9ms
image 43/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-40.jpg: 1088x1920 1 Arruela trava eixo, 81.1ms
image 44/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-43.jpg: 1088x1920 1 Arruela trava eixo, 81.9ms
image 45/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-46.jpg: 1088x1920 1 Arruela trava eixo, 81.5ms
image 46/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-49.jpg: 1088x1920 1 Abracadeira rosca sem fim - 8mm, 82.0ms
image 47/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-51.jpg: 1088x1920 1 Abracadeira rosca sem fim - 8mm, 82.4ms
image 48/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-54.jpg: 1088x1920 1 Abracadeira rosca sem fim - 8mm, 82.5ms
image 49/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-56.jpg: 1088x1920 1 Abracadeira rosca sem fim - 8mm, 81.4ms
image 50/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-58.jpg: 1088x1920 1 Abracadeira rosca sem fim - 8mm, 81.5ms
Speed: 15.3ms preprocess, 82.5ms inference, 70.1ms postprocess per image at shape (1, 3, 1088, 1920)
Results saved to [1mruns/detect/predict2[0m
49 labels saved to runs/detect/predict2/labels
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas

image 1/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-47-43.jpg: 1088x1920 1 Porca sextavada 18.90mm, 80.9ms
